Sat Sep 19 16:12:18 2020    output.dat

         6275 function calls (6124 primitive calls) in 334.978 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 C:\Python38-32\lib\encodings\utf_16_le.py:33(getregentry)
        1    0.000    0.000  334.978  334.978 main.py:21(main)
        1    0.000    0.000    0.000    0.000 C:\Python38-32\lib\logging\__init__.py:887(createLock)
       20    0.000    0.000    0.000    0.000 {method 'bit_length' of 'int' objects}
        4    0.000    0.000    0.000    0.000 C:\Python38-32\lib\site-packages\click\_compat.py:652(should_strip_ansi)
        1    0.000    0.000    0.000    0.000 C:\Python38-32\lib\subprocess.py:166(__init__)
        1    0.000    0.000    0.000    0.000 C:\Python38-32\lib\site-packages\werkzeug\security.py:120(gen_salt)
        2    0.000    0.000    0.000    0.000 {method 'fileno' of '_io.TextIOWrapper' objects}
       12    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:964(get_filename)
        1    0.000    0.000    0.018    0.018 C:\Python38-32\lib\site-packages\werkzeug\serving.py:694(get_sockaddr)
        1    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
        1    0.000    0.000    0.000    0.000 C:\Python38-32\lib\ntpath.py:61(isabs)
        1    0.000    0.000    0.000    0.000 C:\Python38-32\lib\logging\__init__.py:156(<lambda>)
        1    0.000    0.000    0.000    0.000 C:\Python38-32\lib\logging\__init__.py:1323(_fixupParents)
        1    0.000    0.000    0.000    0.000 C:\Users\tianc\AppData\Roaming\Python\Python38\site-packages\colorama\ansitowin32.py:43(isatty)
        1    0.000    0.000    0.000    0.000 C:\Python38-32\lib\site-packages\werkzeug\debug\tbtools.py:206(Line)
       13    0.000    0.000    0.000    0.000 {method 'isalnum' of 'str' objects}
       12    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:397(has_location)
        1    0.000    0.000    0.000    0.000 C:\Python38-32\lib\logging\__init__.py:839(_addHandlerRef)
        1    0.000    0.000    0.002    0.002 C:\Python38-32\lib\logging\__init__.py:1579(handle)
        1    0.000    0.000    0.000    0.000 C:\Python38-32\lib\site-packages\click\_compat.py:131(readable)
        2    0.000    0.000    0.000    0.000 C:\Python38-32\lib\weakref.py:395(__setitem__)
        1    0.000    0.000    0.002    0.002 C:\Python38-32\lib\logging\__init__.py:937(handle)
        1    0.000    0.000    0.000    0.000 C:\Python38-32\lib\logging\__init__.py:1047(__init__)
       12    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:774(create_module)
        4    0.000    0.000    0.000    0.000 C:\Python38-32\lib\site-packages\click\_compat.py:772(<lambda>)
        1    0.000    0.000    0.000    0.000 C:\Python38-32\lib\site-packages\werkzeug\local.py:56(__init__)
        1    0.000    0.000    0.000    0.000 C:\Python38-32\lib\site-packages\werkzeug\_reloader.py:196(StatReloaderLoop)
        3    0.000    0.000    0.000    0.000 {built-in method builtins.any}
        7    0.000    0.000    0.000    0.000 C:\Python38-32\lib\sre_parse.py:168(__setitem__)
        1    0.000    0.000    0.000    0.000 C:\Python38-32\lib\logging\__init__.py:423(usesTime)
        7    0.000    0.000    0.000    0.000 C:\Python38-32\lib\sre_compile.py:453(_get_iscased)
        2    0.000    0.000    0.000    0.000 C:\Python38-32\lib\os.py:810(fsdecode)
        2    0.000    0.000    0.000    0.000 C:\Python38-32\lib\socket.py:97(_intenum_converter)
        1    0.000    0.000    0.000    0.000 {built-in method _abc._abc_instancecheck}
        8    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1400(<genexpr>)
        1    0.000    0.000    0.000    0.000 C:\Python38-32\lib\subprocess.py:935(__del__)
        1    0.000    0.000    0.000    0.000 C:\Python38-32\lib\_collections_abc.py:672(keys)
        5    0.000    0.000    0.000    0.000 C:\Python38-32\lib\site-packages\werkzeug\debug\repr.py:115(_sequence_repr_maker)
        6    0.000    0.000    0.000    0.000 {method 'partition' of 'str' objects}
        1    0.000    0.000    0.000    0.000 C:\Python38-32\lib\logging\__init__.py:2003(getLogger)
        3    0.000    0.000    0.000    0.000 C:\Users\tianc\AppData\Roaming\Python\Python38\site-packages\colorama\ansitowin32.py:28(__getattr__)
        1    0.000    0.000    0.000    0.000 C:\Python38-32\lib\code.py:15(InteractiveInterpreter)
        1    0.000    0.000    0.000    0.000 C:\Python38-32\lib\site-packages\werkzeug\debug\tbtools.py:360(Group)
        1    0.000    0.000    0.000    0.000 {built-in method nt.set_handle_inheritable}
        6    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
        1    0.000    0.000    0.000    0.000 C:\Python38-32\lib\signal.py:25(_int_to_enum)
        1    0.000    0.000    0.000    0.000 C:\Python38-32\lib\site-packages\werkzeug\debug\console.py:149(_InteractiveConsole)
        1    0.000    0.000    0.000    0.000 C:\Python38-32\lib\genericpath.py:16(exists)
        1    0.000    0.000    0.000    0.000 C:\Python38-32\lib\site-packages\click\_compat.py:143(writable)
        3    0.000    0.000    0.000    0.000 C:\Python38-32\lib\ntpath.py:34(_get_bothseps)
        5    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
        6    0.000    0.000    0.000    0.000 {method 'lstrip' of 'str' objects}
        1    0.000    0.000    0.000    0.000 C:\Python38-32\lib\ntpath.py:221(dirname)
        1    0.000    0.000    0.000    0.000 C:\Python38-32\lib\logging\__init__.py:1405(setLevel)
        1    0.000    0.000    0.000    0.000 C:\Python38-32\lib\site-packages\werkzeug\_reloader.py:217(WatchdogReloaderLoop)
        1    0.000    0.000    0.000    0.000 C:\Python38-32\lib\site-packages\werkzeug\serving.py:672(select_address_family)
        2    0.000    0.000    0.000    0.000 C:\Python38-32\lib\logging\__init__.py:772(__init__)
        2    0.000    0.000    0.000    0.000 C:\Users\tianc\AppData\Roaming\Python\Python38\site-packages\colorama\win32.py:99(<genexpr>)
        1    0.000    0.000  334.978  334.978 <string>:1(<module>)
        1    0.000    0.000    0.001    0.001 C:\Python38-32\lib\sysconfig.py:100(_safe_realpath)
        7    0.000    0.000    0.000    0.000 {method 'release' of '_thread.RLock' objects}
        3    0.000    0.000    0.000    0.000 C:\Python38-32\lib\logging\__init__.py:189(_checkLevel)
        1    0.000    0.000    0.000    0.000 C:\Python38-32\lib\site-packages\click\_compat.py:158(seekable)
        1    0.000    0.000    0.000    0.000 C:\Python38-32\lib\subprocess.py:191(Close)
        1    0.000    0.000    0.000    0.000 C:\Python38-32\lib\ntpath.py:214(basename)
        1    0.000    0.000    0.000    0.000 C:\Python38-32\lib\abc.py:100(__subclasscheck__)
        1    0.000    0.000    0.000    0.000 C:\Python38-32\lib\site-packages\werkzeug\debug\repr.py:67(_Helper)
        1    0.000    0.000    0.000    0.000 C:\Python38-32\lib\logging\__init__.py:1589(addHandler)
        1    0.000    0.000    0.000    0.000 C:\Python38-32\lib\sre_parse.py:295(_class_escape)
        1    0.000    0.000    0.000    0.000 C:\Python38-32\lib\logging\__init__.py:431(_format)
        1    0.000    0.000    0.002    0.002 C:\Python38-32\lib\site-packages\click\_compat.py:454(get_text_stdout)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:104(_path_isdir)
        1    0.000    0.000    0.000    0.000 {method 'writable' of '_io.BufferedWriter' objects}
        1    0.000    0.000    0.000    0.000 C:\Python38-32\lib\site-packages\click\_winconsole.py:122(__init__)
        3    0.000    0.000    0.000    0.000 C:\Python38-32\lib\site-packages\flask\app.py:867(debug)
        2    0.000    0.000    0.000    0.000 {built-in method __new__ of type object at 0x6FC6A7D0}
        1    0.000    0.000    0.000    0.000 C:\Python38-32\lib\logging\__init__.py:914(format)
        1    0.000    0.000    0.000    0.000 C:\Python38-32\lib\logging\__init__.py:629(usesTime)
        2    0.000    0.000    0.000    0.000 C:\Python38-32\lib\logging\__init__.py:901(release)
        1    0.000    0.000    0.000    0.000 C:\Python38-32\lib\site-packages\click\_compat.py:112(__init__)
        1    0.000    0.000    0.000    0.000 C:\Python38-32\lib\types.py:171(__get__)
        1    0.000    0.000    0.000    0.000 C:\Python38-32\lib\threading.py:1306(current_thread)
        2    0.000    0.000    0.000    0.000 C:\Python38-32\lib\logging\__init__.py:792(filter)
        1    0.000    0.000    0.000    0.000 C:\Python38-32\lib\site-packages\werkzeug\debug\console.py:120(_ConsoleLoader)
        1    0.000    0.000    0.000    0.000 C:\Python38-32\lib\code.py:162(InteractiveConsole)
        1    0.000    0.000    0.000    0.000 C:\Python38-32\lib\logging\__init__.py:360(getMessage)
        1    0.000    0.000    0.000    0.000 C:\Python38-32\lib\logging\__init__.py:434(format)
        2    0.000    0.000    0.000    0.000 C:\Python38-32\lib\logging\__init__.py:1663(getEffectiveLevel)
        1    0.000    0.000    0.000    0.000 C:\Python38-32\lib\codeop.py:142(CommandCompiler)
        1    0.000    0.000    0.000    0.000 C:\Python38-32\lib\encodings\idna.py:146(Codec)
        1    0.000    0.000    0.000    0.000 {built-in method _signal.signal}
        1    0.000    0.000    0.000    0.000 {method 'seekable' of '_io.BufferedWriter' objects}
        1    0.000    0.000    0.000    0.000 C:\Python38-32\lib\_collections_abc.py:698(__init__)
        1    0.000    0.000    0.000    0.000 C:\Python38-32\lib\sysconfig.py:138(is_python_build)
        1    0.000    0.000    0.000    0.000 C:\Python38-32\lib\codecs.py:186(__init__)
        1    0.000    0.000    0.000    0.000 C:\Python38-32\lib\site-packages\flask\config.py:29(__get__)
        2    0.000    0.000    0.000    0.000 C:\Python38-32\lib\sysconfig.py:181(_get_default_scheme)
        1    0.000    0.000    0.000    0.000 {method 'find' of 'str' objects}
        1    0.000    0.000    0.000    0.000 C:\Python38-32\lib\site-packages\werkzeug\serving.py:867(is_running_from_reloader)
        1    0.000    0.000    0.000    0.000 C:\Python38-32\lib\site-packages\flask\helpers.py:78(get_load_dotenv)
        1    0.000    0.000    0.000    0.000 C:\Python38-32\lib\encodings\utf_16_le.py:22(IncrementalDecoder)
        1    0.000    0.000    0.000    0.000 C:\Python38-32\lib\encodings\idna.py:253(IncrementalDecoder)
        1    0.000    0.000    0.000    0.000 {built-in method builtins.next}
        1    0.000    0.000    0.000    0.000 C:\Python38-32\lib\threading.py:1031(name)
        1    0.000    0.000    0.000    0.000 C:\Python38-32\lib\logging\__init__.py:635(formatMessage)
        1    0.000    0.000    0.000    0.000 {method 'encode' of 'str' objects}
        1    0.000    0.000    0.000    0.000 C:\Python38-32\lib\getpass.py:26(GetPassWarning)
        1    0.000    0.000    0.000    0.000 {built-in method time.time}
        1    0.000    0.000    0.000    0.000 {built-in method msvcrt.get_osfhandle}
        1    0.000    0.000    0.000    0.000 {built-in method sys.exc_info}
        1    0.000    0.000    0.000    0.000 C:\Python38-32\lib\logging\__init__.py:119(getLevelName)
        1    0.000    0.000    0.000    0.000 C:\Python38-32\lib\site-packages\click\_winconsole.py:198(__init__)
        1    0.000    0.000    0.000    0.000 C:\Python38-32\lib\subprocess.py:1130(_get_handles)
        1    0.000    0.000    0.000    0.000 C:\Python38-32\lib\encodings\utf_16_le.py:18(IncrementalEncoder)
        1    0.000    0.000    0.000    0.000 C:\Python38-32\lib\site-packages\werkzeug\debug\__init__.py:127(_ConsoleFrame)
        1    0.000    0.000    0.000    0.000 C:\Python38-32\lib\os.py:1071(__subclasshook__)
        1    0.000    0.000    0.000    0.000 C:\Users\tianc\AppData\Roaming\Python\Python38\site-packages\colorama\ansitowin32.py:22(__init__)
        1    0.000    0.000    0.000    0.000 {built-in method nt.getpid}
        2    0.000    0.000    0.000    0.000 C:\Python38-32\lib\site-packages\click\_winconsole.py:166(writable)
        1    0.000    0.000    0.000    0.000 C:\Python38-32\lib\subprocess.py:1332(_internal_poll)
        1    0.000    0.000    0.000    0.000 C:\Python38-32\lib\encodings\idna.py:218(IncrementalEncoder)
        3    0.000    0.000    0.000    0.000 {method 'setdefault' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 {built-in method sys.exit}
        1    0.000    0.000    0.000    0.000 {method 'setter' of 'property' objects}
        2    0.000    0.000    0.000    0.000 C:\Python38-32\lib\site-packages\werkzeug\_internal.py:83(<genexpr>)
        1    0.000    0.000    0.000    0.000 C:\Python38-32\lib\site-packages\flask\app.py:979(<genexpr>)
        1    0.000    0.000    0.000    0.000 C:\Python38-32\lib\encodings\utf_16_le.py:25(StreamWriter)
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
        1    0.000    0.000    0.000    0.000 C:\Python38-32\lib\encodings\utf_16_le.py:28(StreamReader)
        1    0.000    0.000    0.000    0.000 {built-in method sys._getframe}
        1    0.000    0.000    0.000    0.000 {method 'values' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 C:\Python38-32\lib\subprocess.py:232(_cleanup)
        1    0.000    0.000    0.000    0.000 C:\Python38-32\lib\encodings\idna.py:292(StreamWriter)
        1    0.000    0.000    0.000    0.000 C:\Python38-32\lib\encodings\idna.py:295(StreamReader)
        1    0.000    0.000    0.000    0.000 C:\Python38-32\lib\site-packages\werkzeug\_reloader.py:154(<genexpr>)
        1    0.000    0.000    0.000    0.000 C:\Python38-32\lib\enum.py:659(value)
        1    0.000    0.000    0.000    0.000 C:\Python38-32\lib\contextlib.py:479(__enter__)
        1    0.000    0.000    0.000    0.000 {method 'fileno' of '_socket.socket' objects}
        1    0.000    0.000    0.000    0.000 C:\Python38-32\lib\logging\__init__.py:234(_register_at_fork_reinit_lock)
        1    0.000    0.000    0.000    0.000 C:\Python38-32\lib\subprocess.py:904(__enter__)
        1    0.000    0.000    0.000    0.000 {method 'readable' of '_io._IOBase' objects}


